the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
0101000020E6100000FC6C26D7BBC952C0227900EEA6024440,3306222,0101000020110F0000D2961618D1E95FC117B2DC66D6925241,16330157,39,2,2024-10-21 19:54:00+00,5/10/24,7:42:00,7,2.02E+11,4400 BLOCK N 16TH ST,700,Motor Vehicle Theft,-75.15208987,40.02071929,40.02071929,-75.15208987
0101000020E6100000C93AFB4E7CC952C0DDA90C250BFB4340,3306223,0101000020110F000019D1C22D65E95FC1712BE035678A5241,16331498,9,2,2024-10-21 19:56:00+00,5/13/24,4:52:00,4,2.02E+11,N 6TH ST  & SPRING GARDEN ST,700,Motor Vehicle Theft,-75.14821219,39.96127762,39.96127761,-75.14821219
0101000020E6100000FC62420E42CF52C01BD7E0F99CF44340,3306224,0101000020110F0000B65CF24733F35FC1B69BC6D547835241,16331501,12,1,2024-10-21 19:58:00+00,5/15/24,19:29:00,19,2.02E+11,2700 BLOCK S 73RD ST,700,Motor Vehicle Theft,-75.23840672,39.91104053,39.91104053,-75.23840672
0101000020E6100000ECD76343B3CA52C092C9EBB933084440,3306225,0101000020110F0000A90CDC5D75EB5FC1E6BF0198FE985241,16331919,14,1,2024-10-21 20:03:00+00,5/8/24,16:39:00,16,2.02E+11,1600 BLOCK CARDEZA ST,700,Motor Vehicle Theft,-75.16719136,40.06407856,40.06407856,-75.16719136
0101000020E61000004C80696AFCC252C0E172A365B0024440,3306226,0101000020110F0000F02BAAE35ADE5FC1A253BAE6E0925241,16331930,15,2,2024-10-21 20:06:00+00,5/12/24,13:52:00,13,2.02E+11,6500 BLOCK TULIP ST,700,Motor Vehicle Theft,-75.04665623,40.02100821,40.02100821,-75.04665623
0101000020E610000072F4002F56C052C0E231EAF7D0084440,3306227,0101000020110F0000E02A0AD8DAD95FC10AAD7018AD995241,16362571,8,2,2024-10-21 20:08:00+00,5/20/24,18:02:00,18,2.02E+11,3300 BLOCK GRANT AV,600,Thefts,-75.00526023,40.06887721,40.06887721,-75.00526023
0101000020E610000031D228B0C2CA52C0B08806CE3EFA4340,3306228,0101000020110F000068E83D918FEB5FC186D30ACD84895241,16362585,9,3,2024-10-21 20:09:00+00,5/13/24,21:14:00,21,2.02E+11,1700 BLOCK ARCH ST,600,Thefts,-75.16813282,39.95504165,39.95504165,-75.16813282
0101000020E6100000D67F0837BAC752C0CD39DB50EF024440,3306229,0101000020110F00002B4C4AA668E65FC18AA745AE26935241,16328451,25,2,2024-10-21 20:10:00+00,5/14/24,16:08:00,16,2.02E+11,200 BLOCK E LOUDON ST,2600,All Other Offenses,-75.12074066,40.02292834,40.02292834,-75.12074066
0101000020E6100000D3224F5012CA52C00C44AA8317094440,3306230,0101000020110F000010CD47FA63EA5FC17C0A8663FB995241,16328457,14,1,2024-10-21 20:11:00+00,5/9/24,18:11:00,18,2.02E+11,7700 BLOCK OGONTZ AV,2000,Offenses Against Family and Children,-75.15736778,40.0710301,40.0710301,-75.15736778
0101000020E61000007637CB3C64C752C069C0E63DCAFF4340,3306231,0101000020110F0000860BAF9BD6E55FC1D7E744F8A98F5241,16328466,25,3,2024-10-21 20:11:00+00,5/6/24,19:20:00,19,2.02E+11,700 BLOCK E WESTMORELAND ST,1700,Other Sex Offenses (Not Commercialized),-75.11549301,39.99835943,39.99835943,-75.11549301
0101000020E61000008E8DC4F452C952C0718D539DA3F64340,3306232,0101000020110F0000DC0F03F01EE95FC131B1D62886855241,16328899,3,2,2024-10-21 20:12:00+00,5/9/24,15:04:00,15,2.02E+11,1600 BLOCK S CHRISTOPHER COLUMBUS BLVD,1200,Embezzlement,-75.14568824,39.92686812,39.92686812,-75.14568824
